N,P,K,temperature,humidity,ph,rainfall,label
23.4,22.85,6.9,25.4,100.0,6.9,118.75,orange
24.95,11.96,39.83,18.84,79.38,6.0,110.9,pomegranate
18.36,63.87,22.67,22.43,15.6,6.06,97.97,kidneybeans
103.48,7.79,52.98,23.72,88.64,6.67,65.89,watermelon
17.59,56.02,10.25,29.03,70.81,7.17,35.88,mungbean
40.55,72.05,20.07,34.09,52.9,7.17,26.91,blackgram
89.76,51.57,47.75,21.35,77.21,6.29,195.67,rice
95.38,36.84,25.64,24.0,72.79,7.34,137.8,rice
132.95,62.43,34.02,22.63,73.12,7.53,66.48,cotton
102.93,52.0,48.14,24.51,82.59,6.95,111.07,cotton
16.97,74.32,10.16,23.69,30.78,5.89,138.16,pigeonpeas
6.35,16.27,15.75,23.27,99.33,7.04,105.25,orange
46.32,70.42,21.59,28.6,66.34,7.68,65.41,blackgram
19.66,70.97,12.0,21.01,62.7,6.63,53.58,lentil
95.86,85.96,46.45,27.82,93.96,5.98,106.79,banana
15.3,29.0,21.42,35.0,47.98,6.25,99.61,mango
103.6,63.48,20.98,25.45,53.88,6.47,87.39,maize
20.69,145.0,200.07,23.12,90.7,6.27,119.29,apple
24.37,6.1,36.24,21.37,84.16,5.82,130.28,pomegranate
16.19,26.2,35.56,34.83,40.74,5.64,111.63,mango
119.57,37.59,46.45,21.33,75.57,6.94,78.98,cotton
25.38,30.71,17.53,32.18,83.76,7.14,20.0,mungbean
22.54,57.48,15.68,22.39,38.34,6.59,164.34,pigeonpeas
46.03,77.14,81.68,17.59,22.96,6.15,70.48,chickpea
21.37,122.14,205.0,22.13,94.74,6.2,117.73,apple
79.39,26.38,30.44,26.69,28.92,7.29,143.78,coffee
21.48,76.97,23.05,29.54,48.1,6.08,153.37,pigeonpeas
72.78,39.7,38.82,24.08,80.55,6.38,241.24,jute
73.66,57.94,44.85,22.26,82.87,6.62,162.83,jute
86.09,42.61,41.32,19.66,82.72,6.99,190.2,jute
66.14,72.37,47.18,37.69,87.4,6.36,126.73,papaya
14.64,76.53,15.84,30.16,68.78,6.27,41.03,lentil
19.71,136.1,198.99,20.64,72.16,5.74,45.04,grapes
94.66,52.91,63.15,23.19,90.24,5.67,176.29,rice
19.52,22.72,12.48,17.55,91.68,5.79,83.8,orange
19.71,42.51,27.48,27.31,83.85,6.74,56.19,mungbean
23.57,27.74,38.19,31.45,57.02,6.49,100.14,mango
18.21,60.22,15.21,25.16,22.56,5.58,92.0,kidneybeans
34.07,109.44,205.0,26.47,83.83,6.25,53.01,grapes
16.87,34.22,24.23,29.14,83.73,6.65,25.06,mungbean
26.83,19.25,9.58,21.99,88.23,7.29,87.42,orange
39.63,67.77,26.4,21.36,39.4,5.25,207.05,pigeonpeas
102.91,72.21,68.94,26.1,85.26,6.7,109.71,banana
74.82,49.82,27.62,21.95,82.81,7.64,214.68,rice
22.42,60.91,18.34,28.37,48.37,5.13,205.92,pigeonpeas
13.49,12.87,25.28,22.56,89.0,5.72,94.38,pomegranate
102.81,30.94,24.45,28.54,53.72,6.84,141.79,coffee
111.69,21.29,47.5,22.5,91.08,7.15,21.51,muskmelon
41.69,61.88,21.6,31.51,62.92,7.26,45.22,blackgram
46.02,66.73,57.19,31.18,96.75,6.57,123.7,papaya
44.87,72.88,42.71,36.01,94.45,6.79,115.0,papaya
11.21,5.0,43.68,22.37,85.58,5.7,124.06,pomegranate
15.82,56.13,25.59,20.91,31.48,5.3,95.18,kidneybeans
49.57,75.94,77.61,18.13,14.0,7.24,99.31,chickpea
19.66,49.36,13.03,26.3,89.31,6.26,38.78,mungbean
26.03,53.72,24.28,27.98,84.05,6.64,33.04,mungbean
27.19,31.27,35.86,29.3,40.56,6.19,68.52,mango
22.04,79.23,12.43,23.54,53.32,5.52,154.26,pigeonpeas
102.68,5.28,53.61,24.49,85.34,6.86,32.74,muskmelon
31.59,22.57,40.8,30.14,41.71,5.89,77.19,mango
16.13,43.43,19.18,32.18,36.38,3.68,67.46,mothbeans
18.17,76.85,20.17,25.77,47.69,6.13,182.04,pigeonpeas
113.91,20.02,53.67,29.07,96.7,6.27,20.0,muskmelon
81.11,66.9,50.89,20.57,87.47,5.6,184.66,rice
22.28,19.53,43.93,21.56,90.16,6.28,99.84,pomegranate
109.16,17.96,40.89,27.2,85.04,6.99,25.85,muskmelon
25.9,78.36,13.99,30.99,57.49,5.98,149.56,pigeonpeas
28.7,145.0,175.45,26.31,89.96,5.66,81.47,apple
30.47,48.26,14.03,28.63,83.84,6.81,63.91,mungbean
80.92,42.35,40.7,27.38,94.32,5.76,228.07,rice
15.95,49.21,17.32,17.71,17.02,6.04,104.33,kidneybeans
18.6,135.78,194.39,24.95,89.06,5.48,131.67,apple
79.87,34.38,40.46,23.15,80.92,6.47,195.26,rice
18.76,27.78,28.94,30.66,35.95,5.49,99.84,mango
52.1,64.64,70.2,26.94,93.47,7.29,116.25,papaya
17.22,42.18,19.94,25.63,68.12,3.58,58.2,mothbeans
127.08,49.35,39.22,21.55,73.74,6.92,108.34,cotton
17.96,13.89,39.4,21.58,95.43,6.73,94.38,pomegranate
18.5,81.73,22.23,28.33,49.52,5.26,175.67,pigeonpeas
56.73,53.18,53.86,32.78,94.09,6.77,195.67,papaya
9.27,42.93,22.58,24.92,64.75,6.47,68.0,lentil
77.04,65.96,23.55,16.78,51.84,5.74,65.54,maize
45.75,67.97,72.01,21.33,14.0,7.15,73.84,chickpea
99.79,14.29,47.52,27.4,94.85,6.73,20.0,muskmelon
110.53,46.22,37.37,27.45,71.56,6.73,96.49,cotton
28.21,71.72,35.55,24.02,17.7,5.63,125.9,kidneybeans
37.99,82.78,77.48,15.08,20.48,7.06,98.75,chickpea
10.7,50.07,7.51,25.19,82.44,6.84,36.94,mungbean
96.99,29.63,31.19,20.22,56.87,6.72,124.29,coffee
111.56,28.83,23.03,24.33,54.81,6.91,165.83,coffee
26.83,11.04,11.14,27.59,89.28,7.21,111.44,orange
97.07,19.68,61.13,25.34,81.01,6.47,57.28,watermelon
11.69,24.02,8.97,19.25,87.14,6.48,134.75,orange
20.33,127.54,189.73,22.3,74.77,6.05,58.81,grapes
96.12,26.87,28.81,23.53,74.74,6.43,182.16,coffee
22.29,69.89,14.41,26.01,55.01,6.21,147.07,pigeonpeas
21.67,25.01,32.71,30.83,39.85,5.41,77.98,mango
18.18,145.0,192.47,20.88,88.14,5.99,92.63,apple
16.43,24.11,28.63,28.8,41.89,6.39,91.25,mango
22.21,20.01,32.96,15.73,84.51,5.75,106.55,pomegranate
105.15,23.79,29.44,26.65,45.5,6.77,177.59,coffee
16.82,70.58,26.63,26.15,38.58,5.98,136.91,pigeonpeas
104.62,31.71,30.33,24.9,46.64,7.1,185.2,coffee
28.03,137.85,205.0,21.64,82.65,5.67,49.53,grapes
127.28,48.13,37.37,21.99,83.09,6.67,61.26,cotton
21.42,21.0,51.77,12.88,98.34,6.1,100.16,pomegranate
38.39,61.63,56.52,31.01,91.77,6.22,147.19,papaya
25.52,137.35,184.88,25.89,95.97,5.66,119.85,apple
53.09,90.25,9.22,31.25,65.19,7.3,57.14,blackgram
15.81,37.09,18.32,24.86,42.13,6.44,124.85,pigeonpeas
102.34,20.51,41.96,25.83,86.35,6.19,55.85,watermelon
51.63,58.91,34.1,32.35,92.87,6.61,181.98,papaya
38.43,74.09,19.69,28.76,51.94,6.75,69.13,blackgram
23.97,145.0,182.97,22.28,74.25,6.9,89.2,grapes
18.19,86.99,17.85,21.3,57.3,6.61,36.1,lentil
72.8,52.82,36.65,23.46,84.68,6.1,191.82,rice
106.29,29.62,23.95,24.37,74.79,7.15,156.69,coffee
61.08,48.03,50.85,35.45,89.52,7.05,143.2,papaya
52.34,44.37,81.26,18.64,15.56,7.14,100.78,chickpea
106.07,29.77,43.12,25.41,50.27,7.09,129.97,coffee
74.0,54.95,37.77,24.41,82.26,6.72,203.98,jute
25.79,57.54,21.13,26.88,48.13,3.5,44.51,mothbeans
29.62,11.58,53.54,24.27,95.24,5.21,85.23,pomegranate
55.06,68.4,36.92,33.99,93.14,7.0,155.77,papaya
29.52,60.96,18.29,29.85,56.06,5.25,166.21,pigeonpeas
13.43,145.0,198.95,19.69,91.24,5.6,135.26,apple
13.18,58.92,16.75,24.33,21.23,5.65,86.47,kidneybeans
25.47,9.55,9.27,23.71,91.51,7.0,116.74,orange
31.48,51.37,23.97,25.09,53.48,3.5,49.34,mothbeans
73.98,29.49,32.7,22.98,77.27,6.82,149.23,rice
18.72,47.35,16.66,24.44,85.34,6.46,60.35,mungbean
101.44,17.34,45.4,24.15,77.37,6.38,70.04,watermelon
18.56,15.67,33.58,22.32,98.92,5.83,85.51,pomegranate
25.26,11.88,31.12,29.37,88.57,6.65,187.35,coconut
28.72,18.11,33.59,25.14,92.13,5.39,231.65,coconut
68.4,47.51,46.34,21.91,84.66,6.51,174.07,jute
14.4,19.68,44.65,21.6,89.1,5.6,121.05,pomegranate
18.88,83.17,9.23,18.49,30.71,5.26,54.41,kidneybeans
24.2,48.06,20.52,23.81,52.26,3.94,58.9,mothbeans
70.17,30.55,42.72,23.26,74.28,6.08,230.36,jute
20.1,52.49,23.42,19.8,28.48,5.9,95.68,kidneybeans
89.69,53.56,35.07,23.98,87.92,6.26,234.78,rice
16.3,61.72,12.86,27.73,70.56,6.92,34.66,lentil
55.72,54.23,57.56,34.67,95.11,6.32,143.08,papaya
24.53,18.69,46.46,20.88,77.54,6.22,92.66,pomegranate
18.92,15.61,9.94,20.08,93.84,6.99,121.96,orange
30.21,60.53,78.82,20.23,20.05,7.11,77.25,chickpea
91.73,49.53,44.75,21.45,79.03,7.17,161.02,jute
11.23,12.51,43.18,18.75,88.68,6.01,77.7,pomegranate
112.25,39.5,49.11,25.83,82.03,7.35,91.38,cotton
26.37,52.72,26.52,32.96,37.88,3.59,47.3,mothbeans
21.82,40.79,25.27,30.49,86.26,5.43,63.52,mungbean
30.95,143.63,201.89,27.39,71.93,5.88,86.27,grapes
12.36,36.14,28.39,28.47,84.01,6.19,48.85,mungbean
21.3,68.87,24.52,25.52,63.53,7.32,60.76,lentil
116.59,47.31,64.52,18.47,79.03,7.08,95.5,cotton
21.88,85.04,25.26,17.83,23.28,4.95,112.74,kidneybeans
27.1,22.54,35.6,29.11,55.02,5.81,87.47,mango
111.08,17.48,64.36,24.63,94.61,7.32,25.09,muskmelon
17.43,69.66,22.11,20.81,22.31,5.97,63.0,kidneybeans
22.53,15.23,10.1,21.88,90.16,7.23,122.91,orange
21.1,82.21,16.08,25.88,56.46,5.83,132.18,pigeonpeas
62.3,65.95,10.55,20.52,62.75,6.27,80.81,maize
77.48,37.66,42.67,20.19,88.11,6.24,199.83,jute
90.67,28.46,30.83,28.13,62.05,5.93,186.74,coffee
126.26,39.82,47.3,28.04,75.25,6.71,64.01,cotton
85.43,44.37,16.5,28.43,55.86,6.41,94.73,maize
11.66,50.53,7.67,25.3,66.11,6.89,67.73,lentil
20.95,58.7,19.58,16.23,24.39,5.83,104.37,kidneybeans
23.64,20.52,29.04,22.27,83.0,6.67,97.68,pomegranate
60.19,67.6,32.34,35.78,88.76,6.62,155.7,papaya
81.97,32.69,48.52,21.87,81.78,6.21,161.15,rice
14.49,61.71,19.53,25.62,40.76,5.08,153.7,pigeonpeas
95.41,22.23,50.52,23.18,94.15,6.39,24.87,muskmelon
17.71,41.51,22.1,31.06,81.02,6.99,37.42,mungbean
20.1,74.91,19.64,16.94,17.29,5.89,138.7,kidneybeans
67.19,61.82,14.99,24.2,52.26,6.24,77.69,maize
63.09,43.42,33.2,22.37,75.45,7.19,142.88,jute
19.9,74.44,22.29,19.31,22.47,5.73,83.82,kidneybeans
53.36,68.67,70.01,24.51,21.16,6.92,31.22,chickpea
127.09,37.0,38.8,28.03,76.9,7.49,115.61,cotton
15.67,47.33,19.57,27.41,44.6,3.5,45.86,mothbeans
15.43,119.23,205.0,26.26,87.16,5.64,126.22,apple
50.59,62.93,45.14,37.01,93.37,6.46,159.33,papaya
17.43,17.36,18.6,26.39,88.03,5.77,126.3,pomegranate
116.11,51.12,38.16,24.1,74.39,7.17,60.34,cotton
20.59,28.09,29.05,30.02,37.76,6.22,115.63,mango
26.66,133.81,182.39,26.81,77.68,6.42,58.65,grapes
20.01,25.65,36.8,33.36,64.66,5.57,109.25,mango
102.67,33.12,29.09,26.99,49.0,6.97,203.32,coffee
105.46,32.13,28.81,28.93,62.74,6.54,224.2,coffee
130.66,55.34,50.23,25.13,83.11,7.55,72.03,cotton
22.6,38.86,16.09,24.71,55.78,3.5,43.74,mothbeans
29.79,20.34,33.63,35.53,100.0,5.83,130.88,coconut
13.89,16.58,24.35,27.72,91.26,7.12,177.02,coconut
19.97,18.24,34.91,26.27,91.74,5.55,227.23,coconut
24.06,136.45,205.0,17.99,85.67,5.65,93.55,apple
26.18,22.27,10.37,19.97,83.58,6.57,119.05,orange
13.33,26.11,32.82,32.29,34.54,6.06,148.97,mango
25.2,24.04,25.06,30.75,62.8,6.78,67.71,mango
29.45,15.96,13.51,20.39,92.08,6.43,106.1,orange
96.91,82.43,60.0,26.5,78.31,6.27,124.89,banana
16.19,131.97,205.0,19.86,91.63,5.98,95.97,apple
22.84,125.82,201.54,25.87,79.14,6.55,93.09,grapes
28.89,55.78,18.95,26.6,72.16,7.56,46.24,blackgram
14.92,78.93,27.67,22.66,19.37,5.15,121.41,kidneybeans
22.84,121.45,203.17,21.87,74.17,6.26,79.42,grapes
110.45,54.33,49.96,18.65,78.74,7.01,44.19,cotton
13.39,73.17,25.14,30.32,69.78,7.25,57.6,lentil
116.06,92.85,51.46,24.43,77.89,6.47,104.92,banana
14.89,57.83,14.14,25.33,44.01,3.5,42.23,mothbeans
16.79,118.23,205.0,24.6,96.72,6.43,103.68,apple
93.07,61.52,46.73,24.13,81.35,6.03,181.44,jute
22.69,58.24,16.17,19.52,57.11,7.0,61.1,lentil
82.99,30.41,33.1,21.58,63.04,6.34,169.35,coffee
22.25,14.76,7.69,25.3,87.98,6.7,81.56,orange
23.19,76.57,20.09,27.77,65.6,7.09,38.85,lentil
40.03,88.85,21.4,25.81,60.9,6.98,52.17,blackgram
81.14,103.22,58.38,27.63,82.31,6.33,115.86,banana
7.19,88.0,17.21,21.17,20.08,5.88,93.15,kidneybeans
15.42,13.93,37.29,22.12,85.96,5.4,107.42,pomegranate
80.7,61.21,23.25,29.98,78.18,6.23,150.01,jute
42.27,61.35,33.71,32.52,94.69,6.83,150.97,papaya
22.49,60.27,32.52,29.01,73.12,7.11,45.05,lentil
29.93,20.73,28.89,21.29,91.89,6.88,178.32,coconut
21.22,51.36,17.37,22.07,19.77,5.44,116.16,kidneybeans
16.79,73.5,21.04,22.37,25.8,5.95,97.81,kidneybeans
21.36,52.82,22.32,27.81,54.94,3.89,43.82,mothbeans
31.85,56.38,48.8,29.07,98.48,6.62,124.04,papaya
35.49,72.37,88.71,17.52,14.0,7.48,92.44,chickpea
94.71,15.5,50.25,29.3,92.04,6.41,59.59,watermelon
16.71,23.02,31.94,30.48,46.16,5.58,80.57,mango
13.51,29.72,28.1,28.03,43.9,5.91,83.15,mango
65.2,54.75,24.36,20.62,76.01,6.1,85.06,maize
107.07,88.33,36.05,27.91,76.14,5.73,111.11,banana
86.48,41.57,50.83,24.49,82.02,5.8,226.09,rice
16.84,48.59,10.84,30.85,57.05,3.5,50.86,mothbeans
25.08,118.71,190.93,21.25,92.51,6.3,136.25,apple
12.66,73.86,16.7,15.18,21.22,5.86,122.08,kidneybeans
11.41,71.08,25.36,25.34,77.66,7.03,39.95,lentil
44.71,65.19,79.77,15.47,14.0,7.04,68.34,chickpea
11.96,73.79,18.2,19.31,26.86,5.84,99.88,kidneybeans
118.55,42.71,57.25,25.33,80.41,6.99,106.44,cotton
19.2,63.08,18.97,26.2,55.5,6.52,157.78,pigeonpeas
35.12,55.46,76.33,23.09,14.93,5.82,104.72,chickpea
43.2,61.98,69.38,15.22,16.8,7.25,63.55,chickpea
110.25,18.56,47.57,24.42,97.81,6.17,20.0,muskmelon
20.03,144.15,205.0,24.97,79.5,6.53,91.35,grapes
17.16,72.5,14.93,26.39,81.43,7.23,46.18,lentil
32.5,140.78,205.0,21.85,93.45,6.41,158.38,apple
5.73,52.86,18.08,28.8,87.45,6.51,58.78,mungbean
24.07,85.49,25.19,27.75,62.25,5.97,144.59,pigeonpeas
40.12,54.43,70.78,18.58,19.9,7.08,83.95,chickpea
122.13,49.21,41.84,26.6,75.83,6.8,73.38,cotton
42.47,67.0,85.8,9.89,14.0,6.29,96.5,chickpea
18.39,74.58,13.01,23.37,60.19,5.39,124.04,pigeonpeas
22.43,145.0,205.0,23.19,76.32,5.94,51.65,grapes
22.77,145.0,196.27,25.81,88.78,6.48,99.12,apple
17.28,54.5,18.4,22.46,22.93,5.96,88.63,kidneybeans
47.1,68.36,16.77,31.98,60.04,7.18,83.35,blackgram
38.11,64.95,23.87,27.54,53.02,6.99,78.35,blackgram
28.52,69.52,18.06,29.22,40.1,5.99,180.92,pigeonpeas
101.48,21.08,34.52,22.01,60.87,7.14,106.3,coffee
19.16,68.99,16.04,30.69,70.54,7.28,51.41,lentil
133.14,53.27,48.66,28.16,82.71,7.42,68.26,cotton
16.68,12.39,8.08,23.78,86.47,6.34,99.74,orange
26.94,22.05,45.66,18.23,92.07,6.41,117.75,pomegranate
20.64,18.58,10.05,26.11,95.04,7.05,112.09,orange
20.52,145.0,177.53,21.7,84.82,5.85,113.66,apple
20.01,41.33,22.48,24.47,60.68,3.5,37.79,mothbeans
103.11,27.25,34.72,18.31,67.58,6.8,119.29,coffee
12.76,69.39,11.4,25.56,57.03,7.28,52.54,lentil
81.8,43.11,15.17,21.04,72.35,6.55,128.15,maize
85.08,46.23,20.64,21.86,71.07,6.75,81.54,maize
11.57,23.91,35.14,24.38,97.86,5.55,96.45,pomegranate
96.46,13.39,45.67,27.18,86.48,6.44,24.52,muskmelon
82.59,44.41,24.39,22.72,63.2,6.45,116.23,maize
10.98,44.31,8.91,25.31,84.47,6.74,44.81,mungbean
77.15,60.55,30.63,20.52,80.87,6.77,157.74,jute
69.42,42.48,22.85,23.63,72.85,5.85,55.42,maize
15.51,74.98,20.61,25.46,74.69,7.25,46.85,lentil
38.93,70.94,76.08,16.13,14.46,7.26,81.77,chickpea
20.23,43.73,21.0,27.47,85.28,6.73,53.61,mungbean
17.17,26.2,36.86,26.97,100.0,5.9,222.05,coconut
21.53,20.88,26.8,28.37,100.0,5.89,187.97,coconut
127.39,46.65,49.09,23.31,79.45,6.63,116.59,cotton
19.62,62.13,17.26,27.09,15.21,5.93,90.07,kidneybeans
37.08,65.74,89.19,20.22,14.88,6.57,107.21,chickpea
13.6,56.46,18.8,22.28,59.01,3.57,20.0,mothbeans
77.17,31.17,41.18,22.12,54.26,6.81,142.67,coffee
48.95,83.08,18.25,28.36,62.57,7.1,78.37,blackgram
124.46,50.54,29.11,20.83,83.0,7.02,112.48,cotton
80.56,63.51,14.89,18.32,74.52,7.04,72.73,maize
27.4,57.56,19.09,26.81,60.6,3.5,44.18,mothbeans
9.29,71.67,16.27,26.5,60.67,6.81,53.47,lentil
18.23,54.89,24.45,20.68,19.33,6.38,144.74,kidneybeans
103.23,95.1,55.3,26.05,72.22,5.18,112.9,banana
110.05,13.74,43.53,18.62,87.03,6.75,46.47,watermelon
18.74,145.0,170.45,20.92,77.29,5.94,46.73,grapes
22.32,68.43,18.4,21.61,60.6,6.68,40.55,lentil
35.85,82.98,16.6,30.32,62.82,6.79,70.03,blackgram
74.38,48.02,47.59,23.04,79.01,6.88,203.88,rice
17.28,11.08,25.99,18.44,82.16,6.75,133.0,pomegranate
24.97,27.96,24.13,33.14,35.0,5.48,97.78,mango
18.42,11.19,30.97,25.44,93.1,5.53,202.95,coconut
120.82,34.57,44.34,26.15,76.99,7.37,88.33,cotton
19.51,56.24,25.01,23.83,49.82,3.67,27.86,mothbeans
21.17,50.23,26.34,27.76,88.52,6.49,66.72,mungbean
28.42,73.79,9.48,27.68,70.9,7.34,36.53,lentil
25.09,145.0,183.18,24.89,82.69,5.73,99.53,grapes
18.46,64.41,21.61,21.74,63.53,6.58,108.9,pigeonpeas
109.68,88.87,52.69,25.17,77.71,6.14,127.07,banana
78.3,39.83,22.86,23.04,75.91,6.36,71.86,maize
90.68,75.89,52.22,23.52,79.71,5.15,97.77,banana
89.11,16.06,44.28,25.74,97.94,6.95,33.55,muskmelon
24.66,128.88,183.12,22.07,84.35,6.22,82.45,grapes
18.04,58.19,17.33,24.1,61.08,6.4,43.63,lentil
101.74,16.34,56.97,23.09,82.02,6.22,32.32,watermelon
119.53,73.46,45.32,24.62,76.92,5.65,120.2,banana
26.49,126.07,205.0,19.93,95.43,5.85,93.81,apple
27.88,29.14,30.43,31.31,49.69,6.04,66.52,mango
24.02,54.72,17.94,29.75,49.23,3.93,54.95,mothbeans
114.44,85.54,59.24,25.06,85.9,5.8,104.02,banana
20.03,19.14,12.49,15.96,97.46,7.69,130.56,orange
20.06,20.88,10.32,23.41,90.17,6.97,103.89,orange
23.06,124.8,205.0,23.83,94.47,5.93,106.51,apple
74.17,39.08,37.83,22.43,75.46,6.33,166.27,jute
19.85,21.91,27.7,31.27,73.94,5.72,102.03,mango
76.99,46.85,48.66,21.99,81.64,7.22,154.91,rice
27.15,128.76,194.91,32.47,75.59,5.46,62.45,grapes
33.72,72.66,96.15,15.77,22.55,6.99,67.65,chickpea
46.07,62.45,65.68,33.93,87.58,7.24,143.01,papaya
88.49,42.84,18.03,24.77,41.83,5.99,104.84,maize
108.23,21.85,59.58,25.43,92.0,6.6,20.78,muskmelon
48.92,53.83,46.35,26.52,87.81,6.8,134.14,papaya
75.76,28.71,28.81,24.43,78.73,7.17,214.91,jute
95.55,43.21,23.73,23.91,56.57,5.87,84.82,maize
26.05,125.49,190.29,19.56,88.65,6.23,92.23,apple
28.62,54.58,22.92,21.35,40.44,6.4,147.56,pigeonpeas
97.5,34.51,33.26,23.33,60.11,7.48,160.38,coffee
27.36,131.37,205.0,22.61,89.36,5.6,111.5,apple
27.99,25.86,39.07,29.46,99.98,6.04,254.76,coconut
13.97,57.58,10.01,26.57,76.0,7.08,20.0,lentil
20.57,27.83,36.05,27.85,54.83,5.76,102.92,mango
92.98,21.84,56.81,33.59,94.01,6.29,26.78,muskmelon
80.86,44.55,58.74,27.59,78.16,6.37,212.39,jute
111.7,41.22,44.64,26.41,77.53,6.72,53.41,cotton
23.92,14.73,9.52,22.07,100.0,7.19,92.77,orange
13.37,8.5,42.24,17.7,81.45,5.75,98.42,pomegranate
46.62,67.09,18.8,29.47,58.56,6.69,77.56,blackgram
79.64,44.23,51.63,25.9,75.94,6.66,189.72,rice
26.9,41.41,25.33,23.83,48.55,3.5,28.5,mothbeans
105.23,20.44,36.36,28.5,89.34,6.71,36.06,muskmelon
95.22,7.67,41.79,25.09,80.77,7.09,74.81,watermelon
32.12,59.64,14.45,17.54,67.62,6.37,29.77,lentil
9.4,79.72,20.7,28.57,48.24,6.28,70.91,pigeonpeas
17.48,134.08,205.0,24.74,72.71,5.91,57.18,grapes
22.61,41.76,17.38,28.1,63.6,3.5,46.59,mothbeans
17.77,20.64,31.81,20.88,84.86,5.9,80.98,pomegranate
72.86,49.76,23.88,24.77,75.58,6.83,192.88,jute
102.13,12.82,55.28,27.34,77.64,6.74,62.6,watermelon
85.83,19.89,30.2,25.59,64.36,6.49,149.22,coffee
83.8,47.63,36.96,27.59,74.27,6.6,199.07,jute
20.49,140.73,205.0,24.98,93.75,5.67,126.11,apple
88.87,56.87,30.0,20.13,86.23,7.06,168.74,jute
29.74,14.6,13.62,19.1,98.54,7.27,95.71,orange
26.5,27.59,28.31,29.87,42.89,5.6,112.28,mango
19.19,73.05,28.98,24.61,23.19,5.24,135.65,kidneybeans
111.58,14.88,33.48,25.82,76.95,6.09,57.0,watermelon
11.12,74.51,13.32,28.08,42.58,6.22,73.03,pigeonpeas
128.03,35.87,46.52,17.31,84.11,6.42,84.16,cotton
18.32,15.86,11.01,23.38,90.57,6.76,103.33,orange
104.74,11.52,55.98,25.16,88.67,5.76,43.56,watermelon
101.17,16.95,53.47,28.35,91.38,6.72,36.58,muskmelon
110.76,56.29,48.87,26.74,82.73,6.39,72.29,cotton
23.02,66.99,24.44,16.56,15.71,6.21,136.27,kidneybeans
56.45,86.85,75.53,16.39,14.0,5.99,116.01,chickpea
34.17,58.87,16.96,31.96,60.51,6.78,65.04,blackgram
11.65,77.74,7.48,23.47,61.43,7.84,40.01,lentil
74.59,25.6,45.72,26.43,76.78,6.63,143.87,jute
8.29,18.54,38.27,22.42,89.56,6.4,118.76,pomegranate
93.58,12.2,41.23,23.78,88.16,6.16,36.86,muskmelon
23.09,14.66,37.15,27.5,99.39,6.41,203.45,coconut
106.75,89.47,50.98,27.09,74.7,6.58,117.37,banana
102.95,11.85,62.36,35.51,98.58,6.6,35.56,muskmelon
97.94,80.86,50.63,26.06,78.16,5.51,95.32,banana
71.88,41.62,19.77,26.43,77.76,6.32,57.66,maize
10.82,64.81,16.0,24.38,61.82,6.66,48.09,lentil
29.33,145.0,205.0,16.66,79.49,6.64,79.46,grapes
102.01,23.21,37.58,24.98,50.16,6.36,176.43,coffee
60.47,38.79,75.25,18.35,16.03,7.3,86.01,chickpea
12.58,49.59,17.05,29.64,89.76,6.65,40.46,mungbean
19.95,73.56,12.75,25.94,62.82,7.12,42.02,lentil
45.16,74.33,21.0,37.15,62.94,6.66,60.75,blackgram
101.38,61.35,58.6,26.37,86.14,5.58,95.0,banana
68.85,43.65,47.38,22.58,74.49,6.76,241.97,jute
24.46,22.83,22.56,30.9,30.83,4.27,124.08,mango
22.43,48.58,22.36,31.58,54.53,3.53,58.37,mothbeans
21.62,31.31,30.21,29.77,51.08,3.63,43.84,mothbeans
89.09,11.4,57.96,26.87,94.24,6.84,59.14,watermelon
31.86,62.47,21.51,28.47,62.5,6.84,76.0,blackgram
19.6,13.72,11.78,25.89,95.59,7.24,107.82,orange
105.71,20.06,49.77,24.71,87.86,6.36,53.97,watermelon
24.82,115.46,188.4,20.02,83.47,5.82,75.5,apple
25.18,133.11,205.0,23.57,89.89,5.97,100.68,apple
101.0,24.74,35.56,27.26,57.33,6.84,154.99,coffee
36.91,78.22,22.73,32.46,49.01,7.13,60.62,blackgram
101.73,25.94,57.8,22.95,95.78,6.13,61.55,watermelon
129.74,44.38,45.51,25.3,65.97,6.47,82.14,cotton
95.71,51.34,29.0,25.48,69.51,5.75,66.33,maize
48.77,54.64,21.18,35.42,60.69,6.73,87.38,blackgram
26.13,145.0,205.0,18.67,83.48,5.61,76.48,grapes
28.65,69.76,75.35,17.07,14.0,7.29,69.84,chickpea
22.27,132.03,193.11,22.66,81.72,5.65,74.13,grapes
29.12,11.19,29.79,26.77,100.0,6.44,193.0,coconut
103.99,62.66,41.03,28.42,82.7,5.68,121.89,banana
21.38,60.6,20.51,27.84,90.48,7.34,62.85,mungbean
22.68,55.47,15.03,29.29,66.15,3.5,20.0,mothbeans
122.04,37.55,39.01,20.33,83.1,6.58,51.11,cotton
20.92,55.51,13.37,24.36,24.99,5.07,100.17,kidneybeans
112.0,52.67,49.21,19.55,84.58,6.87,64.31,cotton
102.47,19.04,49.75,26.18,90.68,6.41,36.66,watermelon
24.47,22.34,34.09,23.55,100.0,6.7,168.76,coconut
22.61,117.57,195.67,22.61,77.97,6.07,65.41,grapes
15.14,122.09,184.0,19.95,90.01,6.07,89.36,apple
67.9,64.81,53.07,29.39,95.86,5.99,114.45,papaya
81.71,58.07,38.85,23.49,81.87,5.94,250.07,rice
94.37,14.62,53.86,22.8,95.04,7.02,66.7,watermelon
97.44,27.0,26.26,24.57,69.78,7.18,97.22,coffee
